charset,Shift_JIS
version,1

group,Sakura
{
	0,\0ふつう
	1,\0にこにこ
	2,\0ぷんぷん
	3,\0かなしい
	4,\0たのしい
	5,\0こまる
	6,\0きょとん
	7,\0ふあん
	8,\0びっくり
	9,\0うーん

	10,\1透明さん/p1


	100,\0ふつう/テレ
	101,\0にこにこ/テレ
	102,\0ぷんぷん/テレ
	103,\0かなしい/テレ
	104,\0たのしい/テレ
	105,\0こまる/テレ
	106,\0きょとん/テレ
	107,\0ふあん/テレ
	108,\0びっくり/テレ
	109,\0うーん/テレ


}



group,__disabled
{

1000,\0
1001,\0
1002,\0
1003,\0
1004,\0
1005,\0
1006,\0
1007,\0
1008,\0
1009,\0

1010,\0

1100,\0


1150,\0
1151,\0
1152,\0
1153,\0

1200,\0
1201,\0
1202,\0
1203,\0
1204,\0

1210,\0
1211,\0
1212,\0

1300,\0
1301,\0
1302,\0
1303,\0

1400,\0
1401,\0
1402,\0

5000,\0
5001,\0
5002,\0
5003,\0
5004,\0
5005,\0
5006,\0
5007,\0

5100,\0
5101,\0
5102,\0
5103,\0
5104,\0
5105,\0
5106,\0
5107,\0

6000,\0
6001,\0
6002,\0
6003,\0
6004,\0
6005,\0


7000,\0
7001,\0
7002,\0
7003,\0
7004,\0
7005,\0
7006,\0
7007,\0
7008,\0

7100,\0
7101,\0
7102,\0
7103,\0
7104,\0
7105,\0
7106,\0
7107,\0
7108,\0

8000,\0

}
